,column.names,class,range,mean
41,tBodyGyroJerkMag-mean(),numeric,"-0.994575164583333,-0.202676039247191",-0.771552916
42,tBodyGyroJerkMag-std(),numeric,"-0.993732153205128,-0.23683550005236",-0.786737674
43,fBodyAcc-mean()-X,numeric,"-0.992157217708333,-0.133757972988764",-0.641653674
44,fBodyAcc-mean()-Y,numeric,"-0.975155754871795,0.102003878820225",-0.555873367
45,fBodyAcc-mean()-Z,numeric,"-0.982664512083333,-0.272591149659836",-0.690744628
46,fBodyAcc-std()-X,numeric,"-0.992469808333333,-0.127245614919101",-0.624173581
47,fBodyAcc-std()-Y,numeric,"-0.971690637564103,0.0592301040449438",-0.549177658
48,fBodyAcc-std()-Z,numeric,"-0.974056181875,-0.0598352898007787",-0.6506194
49,fBodyAcc-meanFreq()-X,numeric,"-0.34885362172541,0.00798704466166666",-0.204184956
50,fBodyAcc-meanFreq()-Y,numeric,"-0.164564952463934,0.136415181912195",0.021710137
51,fBodyAcc-meanFreq()-Z,numeric,"-0.140595245544672,0.284312710910112",0.055646875
52,fBodyAccJerk-mean()-X,numeric,"-0.993660824583333,-0.2089562025",-0.671908038
53,fBodyAccJerk-mean()-Y,numeric,"-0.9868704575,-0.0871500384348315",-0.641449795
54,fBodyAccJerk-mean()-Z,numeric,"-0.989427028125,-0.352981568269663",-0.760468338
55,fBodyAccJerk-std()-X,numeric,"-0.994178642291667,-0.207095971672",-0.669738355
56,fBodyAccJerk-std()-Y,numeric,"-0.988578176875,0.0354678201573034",-0.624568346
57,fBodyAccJerk-std()-Z,numeric,"-0.991258490416667,-0.419621473955056",-0.795403022
58,fBodyAccJerk-meanFreq()-X,numeric,"-0.270896174822472,0.25766061329375",-0.030061945
59,fBodyAccJerk-meanFreq()-Y,numeric,"-0.400274190841573,0.088375064625625",-0.201258614
60,fBodyAccJerk-meanFreq()-Z,numeric,"-0.304637150325,0.136230998733333",-0.104160451
61,fBodyGyro-mean()-X,numeric,"-0.986118446282051,-0.0788327637831461",-0.683987683
62,fBodyGyro-mean()-Y,numeric,"-0.987405592708333,-0.248795741449438",-0.723912908
63,fBodyGyro-mean()-Z,numeric,"-0.986429749791667,-0.0819830495561798",-0.657956334
64,fBodyGyro-std()-X,numeric,"-0.988087790769231,-0.445412804202247",-0.75214767
65,fBodyGyro-std()-Y,numeric,"-0.984919989375,-0.15091173901873",-0.695337266
66,fBodyGyro-std()-Z,numeric,"-0.986650575625,-0.225729073181148",-0.707858801
67,fBodyGyro-meanFreq()-X,numeric,"-0.307039569766667,0.1225045045",-0.100910567
68,fBodyGyro-meanFreq()-Y,numeric,"-0.403312438185366,0.0845962063707865",-0.172795302
69,fBodyGyro-meanFreq()-Z,numeric,"-0.266167266894672,0.265781058932584",-0.04262058
70,fBodyAccMag-mean(),numeric,"-0.981396533333333,-0.0562800368966292",-0.606348686
71,fBodyAccMag-std(),numeric,"-0.974775499230769,-0.274171341966292",-0.677913655
72,fBodyAccMag-meanFreq(),numeric,"-0.0681966962434016,0.257758402675",0.084249868
73,fBodyBodyAccJerkMag-mean(),numeric,"-0.991203280625,-0.0759734389325843",-0.636889869
74,fBodyBodyAccJerkMag-std(),numeric,"-0.990655515625,-0.11028850707236",-0.65508829
75,fBodyBodyAccJerkMag-meanFreq(),numeric,"-0.0235437494146067,0.403466797916667",0.18152534
76,fBodyBodyGyroMag-mean(),numeric,"-0.985919111875,-0.156240715516854",-0.71027966
77,fBodyBodyGyroMag-std(),numeric,"-0.98029209625,-0.377012934062787",-0.715579048
78,fBodyBodyGyroMag-meanFreq(),numeric,"-0.314646109333333,0.286221526499775",-0.045431644
79,fBodyBodyGyroJerkMag-mean(),numeric,"-0.993693021410256,-0.252582563561798",-0.788585448
80,fBodyBodyGyroJerkMag-std(),numeric,"-0.993907993589744,-0.270829337453146",-0.8001435
81,fBodyBodyGyroJerkMag-meanFreq(),numeric,"-0.00802004774666666,0.332245723416667",0.130921779
82,"angle(tBodyAccMean,gravity)",numeric,"-0.0423400323797753,0.0376077057057925",0.007279614
83,"angle(tBodyAccJerkMean),gravityMean)",numeric,"-0.0447760524743772,0.0470369997647922",0.003238231
84,"angle(tBodyGyroMean,gravityMean)",numeric,"-0.0662436837901639,0.124161495749892",0.021173951
85,"angle(tBodyGyroJerkMean,gravityMean)",numeric,"-0.107903208029213,0.0706914490270833",-0.010901444
86,"angle(X,gravityMean)",numeric,"-0.826335005333333,-0.297667818083333",-0.506508384
87,"angle(Y,gravityMean)",numeric,"-0.1670146974,0.219369314832479",0.061243506
88,"angle(Z,gravityMean)",numeric,"-0.173424249154472,0.222593196",-0.049234623
